section,parent_index,case_id,group,family,allocated_images,parent_row_sha256,state,universal_lower,universal_upper,attained_lower,attained_upper
primary_rows,2335,all-64,primary,current_partial,64,f282051d06a26b6b3db9a16980a9e662868103f051343dc9245e732345bb2c5b,same_presence_opposite_decisions,-17/32,1/16,-17/32,1/16
primary_rows,2342,all-64,primary,current_partial,64,d720f44ed6992c7f0ca5181ffb5362a0c280b896685199f6f6a7c68db0766119,same_presence_opposite_decisions,-33/64,5/64,-33/64,5/64
primary_rows,2349,all-64,primary,current_partial,64,dce91e02bbd2b2da7a629f650a2787c5e8ec6cade7f6775906c1d25ec6f809a3,same_presence_opposite_decisions,-17/32,1/16,-17/32,1/16
primary_rows,2356,all-64,primary,current_partial,64,1d63dd22ee90aea94ddf263fd86c0246ae0d584aff6f901ef653a4b6c48b1826,same_presence_opposite_decisions,-35/64,3/64,-35/64,3/64
primary_rows,2363,all-64,primary,current_partial,64,b3ad4c682bdeb6fd7f54f4855d18c9944347cf17bfe9c1f2d5faec142253fc24,same_presence_opposite_decisions,-17/32,1/32,-17/32,1/32
primary_rows,2370,all-64,primary,current_partial,64,69b5241845b2ca3a97f22183e111f84b7733af3a0685fbf9c6ff7f5a51cbc8be,same_presence_opposite_decisions,-33/64,3/64,-33/64,3/64
primary_rows,2377,all-64,primary,current_partial,64,a21cbe054e7e6a6091184935977117e3f5c36cd48732e9a1020ee5c56faa4314,same_presence_opposite_decisions,-1/2,1/16,-1/2,1/16
primary_rows,2384,all-64,primary,current_partial,64,0b2fac98e684fa5209281f02dad3deda53395ae30ef1880d2a632e24551cad10,same_presence_opposite_decisions,-31/64,5/64,-31/64,5/64
primary_rows,2391,all-64,primary,current_partial,64,be192aacdb066741c8043635baec68cac5f2d6c275fc1099c4eed618eff724c1,same_presence_opposite_decisions,-15/32,1/16,-15/32,1/16
primary_rows,2398,all-64,primary,current_partial,64,392fc002f83b340aa256e8483c268127a0f3f6c097905b663cd10e6ade9818be,same_presence_opposite_decisions,-31/64,3/64,-31/64,3/64
primary_rows,2405,all-64,primary,current_partial,64,57c9b76299386f8e588574c8ec6ec8946f7345e0c83a22592abbe7501d513c9e,same_presence_opposite_decisions,-15/32,1/16,-15/32,1/16
