false_positive_budget,old_state,new_state,old_minimum_misses,new_minimum_misses,old_attained_cell_ids,new_attained_cell_ids,miss_difference_old_minus_new,comparison
65,available,available,156,157,cell-0083 cell-0084 cell-0085 cell-0086,cell-0005,-1,old_fewer_misses
66,available,available,156,157,cell-0082 cell-0083 cell-0084 cell-0085 cell-0086,cell-0004 cell-0005,-1,old_fewer_misses
67,available,available,155,157,cell-0080,cell-0003 cell-0004 cell-0005,-2,old_fewer_misses
68,available,available,155,157,cell-0079 cell-0080,cell-0002 cell-0003 cell-0004 cell-0005,-2,old_fewer_misses
69,available,available,154,156,cell-0077,cell-0000,-2,old_fewer_misses
70,available,available,154,156,cell-0076 cell-0077,cell-0000,-2,old_fewer_misses
71,available,available,154,156,cell-0075 cell-0076 cell-0077,cell-0000,-2,old_fewer_misses
72,available,available,154,156,cell-0074 cell-0075 cell-0076 cell-0077,cell-0000,-2,old_fewer_misses
73,available,available,154,156,cell-0073 cell-0074 cell-0075 cell-0076 cell-0077,cell-0000,-2,old_fewer_misses
74,available,available,151,156,cell-0069,cell-0000,-5,old_fewer_misses
75,available,available,149,156,cell-0066,cell-0000,-7,old_fewer_misses
76,available,available,148,156,cell-0064,cell-0000,-8,old_fewer_misses
77,available,available,146,156,cell-0061,cell-0000,-10,old_fewer_misses
78,available,available,146,156,cell-0060 cell-0061,cell-0000,-10,old_fewer_misses
79,available,available,146,156,cell-0059 cell-0060 cell-0061,cell-0000,-10,old_fewer_misses
80,available,available,146,156,cell-0058 cell-0059 cell-0060 cell-0061,cell-0000,-10,old_fewer_misses
81,available,available,146,156,cell-0057 cell-0058 cell-0059 cell-0060 cell-0061,cell-0000,-10,old_fewer_misses
82,available,available,146,156,cell-0056 cell-0057 cell-0058 cell-0059 cell-0060 cell-0061,cell-0000,-10,old_fewer_misses
83,available,available,145,156,cell-0054,cell-0000,-11,old_fewer_misses
84,available,available,144,156,cell-0052,cell-0000,-12,old_fewer_misses
85,available,available,143,156,cell-0050,cell-0000,-13,old_fewer_misses
86,available,available,143,156,cell-0049 cell-0050,cell-0000,-13,old_fewer_misses
87,available,available,143,156,cell-0048 cell-0049 cell-0050,cell-0000,-13,old_fewer_misses
88,available,available,143,156,cell-0047 cell-0048 cell-0049 cell-0050,cell-0000,-13,old_fewer_misses
89,available,available,142,156,cell-0045,cell-0000,-14,old_fewer_misses
90,available,available,142,156,cell-0044 cell-0045,cell-0000,-14,old_fewer_misses
91,available,available,142,156,cell-0043 cell-0044 cell-0045,cell-0000,-14,old_fewer_misses
92,available,available,142,156,cell-0042 cell-0043 cell-0044 cell-0045,cell-0000,-14,old_fewer_misses
93,available,available,142,156,cell-0041 cell-0042 cell-0043 cell-0044 cell-0045,cell-0000,-14,old_fewer_misses
94,available,available,142,156,cell-0040 cell-0041 cell-0042 cell-0043 cell-0044 cell-0045,cell-0000,-14,old_fewer_misses
95,available,available,142,156,cell-0039 cell-0040 cell-0041 cell-0042 cell-0043 cell-0044 cell-0045,cell-0000,-14,old_fewer_misses
96,available,available,142,156,cell-0038 cell-0039 cell-0040 cell-0041 cell-0042 cell-0043 cell-0044 cell-0045,cell-0000,-14,old_fewer_misses
97,available,available,142,156,cell-0037 cell-0038 cell-0039 cell-0040 cell-0041 cell-0042 cell-0043 cell-0044 cell-0045,cell-0000,-14,old_fewer_misses
98,available,available,142,156,cell-0036 cell-0037 cell-0038 cell-0039 cell-0040 cell-0041 cell-0042 cell-0043 cell-0044 cell-0045,cell-0000,-14,old_fewer_misses
99,available,available,142,156,cell-0035 cell-0036 cell-0037 cell-0038 cell-0039 cell-0040 cell-0041 cell-0042 cell-0043 cell-0044 cell-0045,cell-0000,-14,old_fewer_misses
100,available,available,140,156,cell-0032,cell-0000,-16,old_fewer_misses
101,available,available,139,156,cell-0030,cell-0000,-17,old_fewer_misses
102,available,available,139,156,cell-0029 cell-0030,cell-0000,-17,old_fewer_misses
103,available,available,138,156,cell-0027,cell-0000,-18,old_fewer_misses
104,available,available,138,156,cell-0026 cell-0027,cell-0000,-18,old_fewer_misses
105,available,available,138,156,cell-0025 cell-0026 cell-0027,cell-0000,-18,old_fewer_misses
106,available,available,137,156,cell-0023,cell-0000,-19,old_fewer_misses
107,available,available,137,156,cell-0022 cell-0023,cell-0000,-19,old_fewer_misses
108,available,available,137,156,cell-0021 cell-0022 cell-0023,cell-0000,-19,old_fewer_misses
109,available,available,137,156,cell-0020 cell-0021 cell-0022 cell-0023,cell-0000,-19,old_fewer_misses
110,available,available,137,156,cell-0019 cell-0020 cell-0021 cell-0022 cell-0023,cell-0000,-19,old_fewer_misses
111,available,available,136,156,cell-0017,cell-0000,-20,old_fewer_misses
112,available,available,136,156,cell-0016 cell-0017,cell-0000,-20,old_fewer_misses
113,available,available,136,156,cell-0015 cell-0016 cell-0017,cell-0000,-20,old_fewer_misses
114,available,available,136,156,cell-0014 cell-0015 cell-0016 cell-0017,cell-0000,-20,old_fewer_misses
115,available,available,136,156,cell-0013 cell-0014 cell-0015 cell-0016 cell-0017,cell-0000,-20,old_fewer_misses
116,available,available,136,156,cell-0012 cell-0013 cell-0014 cell-0015 cell-0016 cell-0017,cell-0000,-20,old_fewer_misses
117,available,available,136,156,cell-0011 cell-0012 cell-0013 cell-0014 cell-0015 cell-0016 cell-0017,cell-0000,-20,old_fewer_misses
118,available,available,136,156,cell-0010 cell-0011 cell-0012 cell-0013 cell-0014 cell-0015 cell-0016 cell-0017,cell-0000,-20,old_fewer_misses
119,available,available,136,156,cell-0009 cell-0010 cell-0011 cell-0012 cell-0013 cell-0014 cell-0015 cell-0016 cell-0017,cell-0000,-20,old_fewer_misses
120,available,available,136,156,cell-0008 cell-0009 cell-0010 cell-0011 cell-0012 cell-0013 cell-0014 cell-0015 cell-0016 cell-0017,cell-0000,-20,old_fewer_misses
121,available,available,136,156,cell-0007 cell-0008 cell-0009 cell-0010 cell-0011 cell-0012 cell-0013 cell-0014 cell-0015 cell-0016 cell-0017,cell-0000,-20,old_fewer_misses
122,available,available,136,156,cell-0006 cell-0007 cell-0008 cell-0009 cell-0010 cell-0011 cell-0012 cell-0013 cell-0014 cell-0015 cell-0016 cell-0017,cell-0000,-20,old_fewer_misses
123,available,available,136,156,cell-0005 cell-0006 cell-0007 cell-0008 cell-0009 cell-0010 cell-0011 cell-0012 cell-0013 cell-0014 cell-0015 cell-0016 cell-0017,cell-0000,-20,old_fewer_misses
124,available,available,136,156,cell-0004 cell-0005 cell-0006 cell-0007 cell-0008 cell-0009 cell-0010 cell-0011 cell-0012 cell-0013 cell-0014 cell-0015 cell-0016 cell-0017,cell-0000,-20,old_fewer_misses
125,available,available,136,156,cell-0003 cell-0004 cell-0005 cell-0006 cell-0007 cell-0008 cell-0009 cell-0010 cell-0011 cell-0012 cell-0013 cell-0014 cell-0015 cell-0016 cell-0017,cell-0000,-20,old_fewer_misses
126,available,available,135,156,cell-0001,cell-0000,-21,old_fewer_misses
127,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
128,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
129,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
130,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
131,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
132,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
133,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
134,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
135,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
136,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
137,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
138,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
139,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
140,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
141,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
142,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
143,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
144,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
145,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
146,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
147,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
148,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
149,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
150,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
151,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
152,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
153,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
154,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
155,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
156,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
157,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
158,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
159,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
160,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
161,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
162,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
163,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
164,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
165,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
166,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
167,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
168,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
169,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
170,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
171,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
172,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
173,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
174,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
175,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
176,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
177,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
178,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
179,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
180,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
181,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
182,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
183,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
184,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
185,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
186,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
187,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
188,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
189,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
190,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
191,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
192,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
