population,arm,order,probability,exact_stop,exact_decision,stat_stop,stat_decision,stat_reason,e_lower_at_stop,e_upper_at_stop,lower_ever_crossed,upper_ever_crossed
point_positive,uniform,041523,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,041532,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,042135,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,042153,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,042315,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,042351,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,042513,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,042531,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,043125,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,043152,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,043215,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,043251,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,043512,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,043521,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,045123,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,045132,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,045213,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,045231,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,045312,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,045321,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,051234,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,051243,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,051324,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,051342,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,051423,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,051432,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,052134,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,052143,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,052314,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,052341,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,052413,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,052431,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,053124,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,053142,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,053214,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,053241,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,053412,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,053421,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,054123,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,054132,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,054213,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,054231,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,054312,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,054321,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,102345,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,102354,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,102435,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,102453,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,102534,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,102543,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,103245,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,103254,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,103425,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,103452,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,103524,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,103542,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,104235,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,104253,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,104325,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,104352,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,104523,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,104532,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,105234,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,105243,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,105324,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,105342,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,105423,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,105432,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,120345,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,120354,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,120435,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,120453,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,120534,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,120543,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,123045,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,123054,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,123405,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,123450,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,123504,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,123540,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,124035,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,124053,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,124305,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,124350,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,124503,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,124530,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,125034,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,125043,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,125304,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,125340,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,125403,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,125430,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,130245,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,130254,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,130425,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,130452,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,130524,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,130542,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,132045,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,132054,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,132405,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,132450,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,132504,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,132540,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,134025,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,134052,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,134205,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,134250,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,134502,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,134520,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,135024,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,135042,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,135204,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,135240,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,135402,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,135420,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,140235,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,140253,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,140325,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,140352,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,140523,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,140532,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,142035,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,142053,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,142305,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,142350,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,142503,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,142530,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,143025,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,143052,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
